type	key	name	lead
city	wakayama/kii-suido-wakayama/kushimoto	串本町	串本町は紀伊半島最南端に位置し、紀伊水道・熊野灘の両面に釣り場があります。黒潮の影響で水温が高く、グレ・イシダイ・アオリイカが年間を通じて高実績です。
city	wakayama/kii-suido-wakayama/mihama	美浜町	美浜町は紀伊水道北部の静かな入り江と砂浜が続くエリアです。クロダイ・キスが狙いやすく、穏やかな海況で釣行しやすい環境が整っています。
city	wakayama/kii-suido-wakayama/shirahama	白浜町	白浜町は外洋に面した磯と砂浜が交互に現れる変化に富んだエリアです。グレ・クロダイが年間を通じて狙え、透明度の高い磯ではアオリイカの実績も高いです。
city	wakayama/kii-suido-wakayama/susami	すさみ町	すさみ町は黒潮の影響を受けやすい磯釣りエリアで、岩礁帯が発達しています。グレ・イシダイが狙いやすく、秋〜冬は良型グレが磯に寄りやすくなります。アオリイカの好漁場としても知られています。
city	wakayama/kii-suido-wakayama/tanabe	田辺市	田辺市は会津川河口と磯・砂浜が混在する紀伊水道南部のエリアです。クロダイ・グレが狙いやすく、文里港周辺はアジ・サバのサビキ釣りも楽しめます。
city	wakayama/kii-suido-wakayama/wakayama	和歌山市	和歌山市は紀ノ川河口と紀伊水道に面し、護岸・磯・河口と釣り場のバリエーションが豊富です。クロダイ・シーバスが通年狙え、加太沖に近いエリアではマダイの実績も高いです。
city	wakayama/kii-suido-wakayama/yuasa	湯浅町	湯浅町は紀伊水道に面した小規模な港湾が点在するエリアです。クロダイ・アジが狙いやすく、穏やかな内湾の地形で波の影響を受けにくく釣行しやすい環境です。
city	wakayama/kii-suido-wakayama/yura	由良町	由良町は紀伊水道の潮流が集まる由良湾を擁するエリアで、潮通しが良く魚影が濃いです。クロダイ・グレが狙いやすく、秋〜冬のアオリイカシーズンも人気があります。
city	wakayama/kumano-nada/kushimoto	串本町	串本町は紀伊半島最南端に位置し、紀伊水道・熊野灘の両面に釣り場があります。黒潮の影響で水温が高く、グレ・イシダイ・アオリイカが年間を通じて高実績です。
city	wakayama/kumano-nada/nachikatsuura	那智勝浦町	那智勝浦町は熊野灘に面した磯釣りの銘地で、黒潮の影響で年間を通じて水温が高めです。グレ・イシダイが狙いやすく、秋〜冬の良型グレシーズンには多くの磯釣り師が訪れます。
city	wakayama/kumano-nada/shingu	新宮市	新宮市は熊野川河口に接する熊野灘のエリアで、大型河川の河口域と磯が混在しています。クロダイ・グレが狙いやすく、河口周辺ではシーバスの実績も高いです。
city	wakayama/kumano-nada/taiji	太地町	太地町は熊野灘の外洋磯に面したコンパクトなエリアです。黒潮の影響で水温が高く、グレ・アオリイカが年間を通じて狙いやすい環境が続きます。
city	osaka/osakawan/hannan	阪南市	阪南市は大阪湾南部の泉南エリアに位置し、岩礁と砂浜が混在する変化に富んだ海岸線です。チヌ・カサゴが狙いやすく、春〜秋はアジ・サバのサビキ釣りも盛んです。
city	osaka/osakawan/izumiotsu	泉大津市	泉大津市は大阪湾に面した護岸・港湾が中心のエリアで、都市近郊から気軽にアクセスできます。チヌ・シーバスが通年狙え、秋〜冬はタチウオの回遊も見られます。
city	osaka/osakawan/izumisano	泉佐野市	泉佐野市は大阪湾南部に位置し、泉佐野漁港など港湾の釣り場が充実しています。チヌ・アジが年間を通じて狙いやすく、秋はタチウオ・サワラの回遊も期待できます。
city	osaka/osakawan/kaizuka	貝塚市	貝塚市は大阪湾に面した護岸と河口が混在するエリアです。チヌ・シーバスが狙いやすく、春〜秋はアジのサビキ釣りも楽しめます。二色の浜周辺は足場が良く釣行しやすい環境です。
city	osaka/osakawan/kishiwada	岸和田市	岸和田市は大阪湾中部の護岸・港湾が整備されたエリアです。チヌ・シーバスが通年の主役で、春〜初夏はサヨリ、秋〜冬はタチウオのシーズンが訪れます。
city	osaka/osakawan/misaki	岬町	岬町は紀淡海峡に近い大阪湾最南端のエリアで、潮通しが良く魚影が濃い環境です。チヌ・メジナが狙いやすく、深日港周辺はアジ・サバの回遊も活発です。
city	osaka/osakawan/osaka	大阪市	大阪市は大阪湾奥の運河・護岸・埋立地に釣り場が点在する都市型エリアです。シーバス・チヌが通年の主役で、秋〜冬はタチウオも加わり釣り場が賑わいます。
city	osaka/osakawan/sakai	堺市	堺市は大阪湾に面した護岸・埋立地の釣り場が整備されたエリアです。チヌ・シーバスが狙いやすく、夏〜秋はアジ・タチウオの回遊が加わります。
city	osaka/osakawan/sennan	泉南市	泉南市は大阪湾南部の砂浜と護岸が続くエリアです。キス・チヌが狙いやすく、樽井漁港周辺はアジのサビキ釣りも楽しめます。秋〜冬はタチウオの実績も高いです。
city	osaka/osakawan/tadaoka	忠岡町	忠岡町は大阪湾に面した小規模なエリアで、護岸からの釣りが中心です。チヌ・シーバスが狙いやすく、秋〜冬のタチウオシーズンには近隣からの釣り人も訪れます。
city	osaka/osakawan/tajiri	田尻町	田尻町は関西国際空港対岸に位置し、護岸と港湾からの釣りが楽しめるエリアです。チヌ・アジが狙いやすく、潮通しの良いポイントではサヨリも回遊してきます。
city	osaka/osakawan/takaishi	高石市	高石市は大阪湾に面した護岸・埋立地が続くエリアで、アクセスの良さが魅力です。チヌ・シーバスが通年狙え、秋はタチウオ・アジの回遊も加わり釣り場が活気づきます。
